id,name,postal_code,commune,numero,voie,lieu_dit,code_insee,siret,activite,contact_url,site_internet,longitude,latitude,transport_station_presence,stationnement_presence,stationnement_pmr,stationnement_ext_presence,stationnement_ext_pmr,cheminement_ext_presence,cheminement_ext_terrain_stable,cheminement_ext_plain_pied,cheminement_ext_ascenseur,cheminement_ext_nombre_marches,cheminement_ext_reperage_marches,cheminement_ext_sens_marches,cheminement_ext_main_courante,cheminement_ext_rampe,cheminement_ext_pente_presence,cheminement_ext_pente_degre_difficulte,cheminement_ext_pente_longueur,cheminement_ext_devers,cheminement_ext_bande_guidage,cheminement_ext_retrecissement,entree_reperage,entree_vitree,entree_vitree_vitrophanie,entree_plain_pied,entree_ascenseur,entree_marches,entree_marches_reperage,entree_marches_main_courante,entree_marches_rampe,entree_marches_sens,entree_dispositif_appel,entree_dispositif_appel_type,entree_balise_sonore,entree_aide_humaine,entree_largeur_mini,entree_pmr,entree_porte_presence,entree_porte_manoeuvre,entree_porte_type,accueil_visibilite,accueil_personnels,accueil_audiodescription_presence,accueil_audiodescription,accueil_equipements_malentendants_presence,accueil_equipements_malentendants,accueil_cheminement_plain_pied,accueil_cheminement_ascenseur,accueil_cheminement_nombre_marches,accueil_cheminement_reperage_marches,accueil_cheminement_main_courante,accueil_cheminement_rampe,accueil_cheminement_sens_marches,accueil_chambre_nombre_accessibles,accueil_chambre_douche_plain_pied,accueil_chambre_douche_siege,accueil_chambre_douche_barre_appui,accueil_chambre_sanitaires_barre_appui,accueil_chambre_sanitaires_espace_usage,accueil_chambre_numero_visible,accueil_chambre_equipement_alerte,accueil_chambre_accompagnement,accueil_retrecissement,sanitaires_presence,sanitaires_adaptes,labels,labels_familles_handicap,registre_url,conformite,web_url
459f0dbf-9714-4289-98c0-39f0bec7fce8,2R Retailing,66170,Néfiach,13,Avenue Jean Jaurès,,66121,,Espace numérique,https://www.tremplin-numerique.org/,https://www.tremplin-numerique.org/,2.669398,42.693542,False,True,True,True,True,False,,,,,,,,,,,,,,,True,,,True,,,,,,,True,"[""interphone""]",False,True,,False,False,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tremplin-numerique.org/,,https://acceslibre.beta.gouv.fr/app/66-nefiach/a/espace-numerique/erp/2r-retailing/
f6b9de9e-481a-4eec-a76f-93e66dd00069,2 Rue Boucher Garage,75001,Paris,2,Rue Boucher,,75101,,Boucherie / commerce de viande,,,2.343783,48.859432,,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,90,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/75-paris/a/boucherie/erp/2-rue-boucher-garage/
f99ac14f-74d3-45af-a047-11abd57368c8,2 RUE DU CAMPING,76460,Saint-Valery-en-Caux,21,Rue du Hameau d’Etennemare,,76655,,Chirurgien dentiste,,,0.704671,49.858585,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/76-saint-valery-en-caux/a/chirurgien-dentiste/erp/2-rue-du-camping/
d56c8284-5753-4bb3-8fd5-7908a51eb988,2 Savoies Immobilier,74000,Annecy,6,Rue Montaigne,,74010,,Agence immobilière,,https://www.2savoiesimmobilier.com/,6.140532,45.906039,,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,90,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/74-annecy/a/agence-immobiliere/erp/2-savoies-immobilier/
8eb073ac-b9f3-4ab4-8a0b-414e0c468a43,2SB LA FOUGASSERIE SARL,06300,Nice,56,Boulevard Virgile Barel,,06088,,Boulangerie Pâtisserie,,,7.292966,43.713699,True,False,,True,False,,,,,,,,,,,,,,,,True,True,,True,,,,,,,,,,,90,,True,battante,manuelle,True,non-formés,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/06-nice/a/boulangerie-patisserie/erp/2sb-la-fougasserie-sarl/
8972420a-6ddb-4bfb-9ded-ae038c3965ea,2SI - Fournisseur de Matériaux de Construction,93600,Aulnay-sous-Bois,20,Rue Germain Planque,,93005,,Droguerie,,http://2-si.fr/,2.475937,48.951933,,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,90,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/93-aulnay-sous-bois/a/droguerie/erp/2si-fournisseur-de-materiaux-de-construction/
1ac5c4e3-247c-4a02-966b-2e7f4ca77317,2 Sœurs Mille Pages 1 Café,77200,Torcy,7,Avenue Jacques Prevert,,77468,,Librairie,,http://2smp1c.fr/,2.65121,48.847253,,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,90,,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,https://acceslibre.beta.gouv.fr/app/77-torcy/a/librairie/erp/2-surs-mille-pages-1-cafe/
c2da422b-4850-4c3f-bdce-5864522237be,2sp - Philippe HUBERT - Photographe,84500,Bollène,12,Rue des Ecoles,,84019,,Photographie,,http://www.2sp.fr/,4.748835,44.280144,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/84-bollene/a/photographie/erp/2sp-philippe-hubert-photographe/
aea32395-9386-4838-b246-7430ac1100f3,2studio2 Portraits et Mariage,78280,Guyancourt,2,Place Jacques Brel,,78297,,Photographie,,http://www.2studio2.com/,2.050264,48.774803,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/78-guyancourt/a/photographie/erp/2studio2-portraits-et-mariage/
0781b0ac-aa6e-4582-8d3a-f0c83506cd21,2theloo,91300,Massy,,Avenue Carnot,,91377,,Toilettes publiques,,http://www.2theloo.com/,2.263173,48.725937,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/91-massy/a/toilettes-publiques/erp/2theloo/
93d72bf3-4ee2-4da4-8ce0-3e007ec55c1d,2theloo,57000,Metz,,Place du Général de Gaulle,,57463,,Toilettes publiques,,http://www.2theloo.com/,6.176598,49.11043,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/57-metz/a/toilettes-publiques/erp/2theloo-2/
28128445-4eae-4742-8c3c-65ddf105f42b,2theloo,35000,Rennes,,Boulevard Solférino,,35238,,Toilettes publiques,,,-1.668452,48.104506,,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,90,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/35-rennes/a/toilettes-publiques/erp/2theloo-3/
bad28af6-bef1-407f-849f-bac3db352819,2theloo Marne la Vallée,77700,Chessy,,Place des Passagers du Vent,,77111,,Toilettes publiques,,http://www.2theloo.com/,2.782479,48.870812,,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,90,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/77-chessy/a/toilettes-publiques/erp/2theloo-marne-la-vallee/
